POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
POG Position(93, 19), PixelCount(274), Intensity(1908)
POG Position(103, 14), PixelCount(209), Intensity(1408)
POG Position(41, 56), PixelCount(40), Intensity(275)
POG Position(177, 52), PixelCount(21), Intensity(163)
POG Position(122, 23), PixelCount(93), Intensity(627)
POG Position(56, 43), PixelCount(21), Intensity(137)
POG Position(69, 32), PixelCount(18), Intensity(121)
POG Position(72, 22), PixelCount(44), Intensity(283)
POG Position(136, 21), PixelCount(23), Intensity(142)
POG Position(115, 13), PixelCount(18), Intensity(114)
